node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.0016376561481367526,3.686735886853916,0,1,0,1.0,0.0
1,1,0.00020211966704001074,1.6911078899901093,0,2,0,0.0,0.0
2,2,0.00021542342490450195,0.975208945027517,0,3,0,0.0,0.0
3,3,0.0007540910459989496,2.2606111787737375,0,2,0,0.0,0.0
4,4,0.00010076680751403157,1.8248143636064669,0,2,0,0.0,0.0
5,5,0.0002110645589853075,1.319301976232392,0,2,0,0.0,0.0
6,6,0.0006538279918368195,1.3207325350611505,0,2,0,0.0,0.0
7,7,0.0008546504510621426,3.64589372220263,0,1,0,1.0,0.0
8,8,0.0002016318689537499,1.8347246870306342,0,2,0,0.0,0.0
9,9,0.0004159879568856637,3.360233358279775,0,1,0,1.0,0.0
10,10,0.0007576501802028768,2.1140887208874064,0,1,0,0.0,0.0
11,11,0.00020538872759535601,1.6394031030977858,0,2,0,0.0,0.0
12,12,0.00010026305416213,1.8030336530500417,0,1,0,0.0,0.0
13,13,0.0027665386916970423,2.1570889304031136,0,1,0,0.0,1.0
14,14,0.0018927802126170543,1.5733168756099183,0,2,0,0.0,1.0
15,15,0.0,2.284649761123503,0,1,0,0.0,0.0
16,observers,0.001999609585132456,1.5239709702891664,0,2,1,,
17,17,0.0010825671586264054,1.045781159263505,0,2,0,0.0,0.0
18,18,0.0007371261362128121,0.7391102023370933,0,2,0,0.0,0.0
19,19,0.0022903650576649864,1.877451915972195,0,2,0,0.0,1.0
20,20,0.0014152310202746959,1.1890733593989509,0,2,0,0.0,0.0
21,21,0.0015442166029550888,1.3557637151855018,0,2,0,0.0,0.0
22,22,0.0008490589646567314,0.8103254212504324,0,2,0,0.0,0.0
23,23,0.0018652302834104787,1.624764169451928,0,2,0,0.0,0.0
24,24,0.0013921546550093244,1.1990999568399965,0,3,0,0.0,0.0
25,source_nodes,0.001240599778088885,1.1326579711380107,0,0,0,0.0,0.0
26,26,0.0014204161092461816,1.3053881899581692,0,2,0,0.0,0.0
27,27,0.0006235479216132348,0.8704551980759735,0,3,0,0.0,0.0
28,28,0.0014357182243101968,1.1605322956143784,0,3,0,0.0,0.0
29,29,0.0011861100487173014,1.158425036921526,0,2,0,0.0,0.0
30,30,0.0009857999424648116,1.0679937545612603,0,2,0,0.0,0.0
31,31,0.0010220266756511152,0.9598654827918028,0,2,0,0.0,0.0
32,32,0.0008772499525828931,0.9788601769462363,0,1,0,0.0,0.0
33,33,0.0006192073527203337,0.6506786511007046,0,2,0,0.0,0.0
34,34,0.0010638553308273267,0.9773945902354414,0,3,0,0.0,0.0
35,35,0.0007430971559586016,1.0538465525526697,0,2,0,0.0,0.0
36,36,0.000540433579064916,0.7271293136105736,0,2,0,0.0,0.0
37,37,0.0005410904149205371,0.8218541668003928,0,3,0,0.0,0.0
38,38,0.00044919612589558764,0.8278293399353315,0,3,0,0.0,0.0
39,39,0.00099778372829631,1.168189216742293,0,2,0,0.0,0.0
40,source_nodes,0.00042261465709528175,0.7278664537626499,0,0,0,0.0,0.0
41,41,0.000758105943682216,1.06640021194242,0,2,0,0.0,0.0
42,observers,0.00033544144008760515,0.6912181857341654,0,2,1,,
43,43,0.0009791165154688988,1.0090700449497003,0,2,0,0.0,0.0
44,44,0.0008851758316639374,0.9431243535450017,0,3,0,0.0,0.0
45,45,0.0006629412048050236,0.8369151033100484,0,2,0,0.0,0.0
46,46,0.0006391986899371897,0.8176449444672733,0,3,0,0.0,0.0
47,47,0.0005520456218796238,0.9081718228382633,0,1,0,0.0,0.0
48,48,0.00022462057230907733,0.6699728496900603,0,2,0,0.0,0.0
49,observers,0.0005358068080357347,0.5851509932476001,0,3,1,,
50,50,0.0007539817902167432,0.983478646434711,0,3,0,0.0,0.0
51,51,0.00033943291085786393,0.6032075497255792,0,3,0,0.0,0.0
52,52,0.000326622975442694,0.5838851599495188,0,2,0,0.0,0.0
53,53,0.0005202605149845366,0.7198542775444886,0,2,0,0.0,0.0
54,54,0.0006239347895151495,0.7884436978045521,0,3,0,0.0,0.0
55,55,0.00020593362037072424,0.567168748478462,0,2,0,0.0,0.0
56,56,0.00021475208501563542,0.5735091516721029,0,2,0,0.0,0.0
57,57,0.0005629002410621884,0.7714244897005088,0,3,0,0.0,0.0
58,58,0.0003148790803578892,0.645350016232843,0,3,0,0.0,0.0
59,59,0.0004627108453010358,0.7521244555557527,0,3,0,0.0,0.0
60,60,0.0008325797913357222,0.8654935410349647,0,2,0,0.0,0.0
61,61,0.0001108015048231775,0.5736436097030665,0,2,0,0.0,0.0
62,source_nodes,0.00042256716483742273,0.7517834183375578,0,0,0,0.0,0.0
63,63,0.0004271734849334166,0.745461119008014,0,2,0,0.0,0.0
64,64,0.0005374777035659535,0.8118639305016303,0,3,0,0.0,0.0
65,65,0.0004106306546317695,0.646108224218261,0,3,0,0.0,0.0
66,66,0.0001108015048231775,0.5879344693284103,0,1,0,0.0,0.0
67,67,0.00020545066822655127,0.6422338679110636,0,3,0,0.0,0.0
68,68,0.00030921310838650796,0.571187027427042,0,2,0,0.0,0.0
69,69,0.00020888580948956144,0.6579201414843556,0,3,0,0.0,0.0
70,70,0.00021105650420918265,0.6411322025087518,0,2,0,0.0,0.0
71,71,0.00023472527433953338,0.7217745597764841,0,2,0,0.0,0.0
72,72,0.00010462192008132446,0.6613997056133402,0,3,0,0.0,0.0
73,73,0.0003187040417293543,0.6494245572481996,0,2,0,0.0,0.0
74,74,0.00042423251823906085,0.7457326063407571,0,3,0,0.0,0.0
75,75,0.000707638033171146,0.6665193845189454,0,2,0,0.0,0.0
76,76,0.00010076680751403157,0.5149304781767455,0,2,0,0.0,0.0
77,77,0.000534312867726313,0.676153277327724,0,2,0,0.0,0.0
78,78,0.0003104808796576735,0.4215421921107366,0,3,0,0.0,0.0
79,79,0.00033060127834544687,0.7279710916270256,0,2,0,0.0,0.0
80,80,0.0002103389118054684,0.41910613002354735,0,3,0,0.0,0.0
81,81,0.0006591255884994038,0.47686250418820186,0,3,0,0.0,0.0
82,82,0.00036949583263562284,0.7650658403706714,0,4,0,0.0,0.0
83,83,0.0002269067560927899,0.6557249116354543,0,3,0,0.0,0.0
84,84,0.0002103389118054684,0.5827252695119126,0,1,0,0.0,0.0
85,85,0.00023226422860523775,0.7398403304700911,0,3,0,0.0,0.0
86,86,0.00010958527215894276,0.5949938146129161,0,2,0,0.0,0.0
87,87,0.0006427765390484904,0.5609973562613689,0,3,0,0.0,0.0
88,88,0.0003125417623249089,0.6574370359483775,0,3,0,0.0,0.0
89,observers,0.0003225941411475162,0.6424068359744383,0,4,1,,
90,90,0.0002022179209656975,0.5069870345820469,0,2,0,0.0,0.0
91,91,0.0,0.5625097670295643,0,3,0,0.0,0.0
92,92,0.00012499110648894407,0.5849243262890917,0,2,0,0.0,0.0
93,observers,0.00022585616792866243,0.6295497358190365,0,2,1,,
94,94,0.00010958527215894276,0.592238100888511,0,2,0,0.0,0.0
95,95,0.00010290266057781022,0.48693797221704627,0,3,0,0.0,0.0
96,96,0.0006560735090898686,0.48204289872800954,0,3,0,0.0,0.0
97,97,0.00022984763869892118,0.6036404365076636,0,3,0,0.0,0.0
98,98,0.00010774470462737467,0.5830435183457198,0,2,0,0.0,0.0
99,99,0.00020520552969028786,0.5710641028995558,0,2,0,0.0,0.0
