node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.0004141473680163739,0.8752388873759674,0,4,0,0.0,0.0
1,1,0.0003337246407769105,0.9796957451402988,0,3,0,0.0,0.0
2,2,0.00034971425837844873,0.6289952018490462,0,5,0,0.0,0.0
3,3,0.0,0.7042385008776045,0,4,0,0.0,0.0
4,4,0.0006153775438561037,1.0958631859142065,0,2,0,0.0,0.0
5,5,0.00011321022462912557,0.7226928593260764,0,4,0,0.0,0.0
6,6,0.000230404911344346,1.1401126581215228,0,1,0,0.0,0.0
7,observers,0.000716773863264366,1.3096745889741688,0,3,1,,
8,8,0.0,0.9076003901222782,0,3,0,0.0,0.0
9,observers,0.00011321022462912557,0.6780796523460896,0,5,1,,
10,10,0.00011321022462912557,0.8054913084040703,0,5,0,0.0,0.0
11,11,0.0002184158602151051,0.8224878056515159,0,4,0,0.0,0.0
12,12,0.00043952802362552716,0.6296719696069221,0,6,0,0.0,0.0
13,13,0.0006400753395229535,0.8991313200095434,0,5,0,0.0,0.0
14,14,0.00042358167098613034,0.9064281358968969,0,6,0,0.0,0.0
15,15,0.00038143494157198753,0.9295849827254407,0,5,0,0.0,0.0
16,16,0.00023072304767051733,0.9438726929534368,0,5,0,0.0,0.0
17,17,0.00021296753490426319,1.0737868381543947,0,5,0,0.0,0.0
18,18,0.0,0.8214675723417411,0,6,0,0.0,0.0
19,19,0.0005563321646092165,1.1498912960182472,0,3,0,0.0,0.0
20,20,0.0005399155067540974,0.9819379400219723,0,4,0,0.0,0.0
21,21,0.00021332858619277446,0.9922510635733578,0,4,0,0.0,0.0
22,22,0.0,1.0155724957645778,0,3,0,0.0,0.0
23,23,0.00010224862011071884,0.980351735045458,0,3,0,0.0,0.0
24,24,0.0006548993320065119,1.3026530406473955,0,2,0,0.0,0.0
25,25,0.00020324162213723837,1.1624580635756772,0,5,0,0.0,0.0
26,26,0.00011049485128815973,0.6647292986518981,0,5,0,0.0,0.0
27,27,0.0004941685387023345,0.9725073443771547,0,3,0,0.0,0.0
28,28,0.0004620480913909048,0.9707128572794185,0,4,0,0.0,0.0
29,29,0.00017607103520815253,0.550215217778841,0,4,0,0.0,0.0
30,30,-1.0,0.0,0,-1,0,0.0,0.0
31,31,0.00057232431555935,0.6891635737500982,0,6,0,0.0,0.0
32,32,-1.0,0.0,0,-1,0,0.0,0.0
33,33,0.0003382058011065654,0.7413341146732302,0,6,0,0.0,0.0
34,34,0.00033866550624459825,0.8500848766001387,0,5,0,0.0,0.0
35,35,0.0002102778087498059,0.6776482898478332,0,5,0,0.0,0.0
36,36,0.0004442446669889531,1.0970419046943305,0,5,0,0.0,0.0
37,37,0.0003296051509703245,0.9472938774260456,0,4,0,0.0,0.0
38,38,0.0002261836149402413,0.943411422250035,0,5,0,0.0,0.0
39,39,0.00022395114931562796,0.9481611112565614,0,4,0,0.0,0.0
40,40,0.0,0.9798249555074678,0,3,0,0.0,0.0
