Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
BA_n100_m6_graph_1,2,"['37', '94']",4,2,"['11', '29']",1.5,0,[],2,"['8', '1']",2,0,[],"['7', '14', '9', '13', '0']"
BA_n100_m6_graph_2,2,"['1', '81']",3,2,"['7', '24']",1,0,[],2,"['5', '38']",2,0,[],"['8', '9', '10', '0', '15']"
BA_n100_m6_graph_3,2,"['71', '93']",4,2,"['4', '7']",1.5,0,[],2,"['7', '14']",2,0,[],"['8', '12', '10', '21', '0']"
BA_n100_m6_graph_4,2,"['13', '76']",3,2,"['13', '4']",1,1,['13'],2,"['10', '4']",1.5,0,[],"['7', '9', '3', '0', '15']"
BA_n100_m6_graph_5,2,"['10', '58']",3,2,"['10', '2']",1,1,['10'],2,"['11', '13']",1.5,0,[],"['7', '8', '5', '9', '0']"
BA_n100_m6_graph_6,2,"['14', '36']",3,2,"['14', '36']",0,2,"['14', '36']",2,"['16', '3']",2,0,[],"['7', '19', '0', '20', '15']"
BA_n100_m6_graph_7,2,"['10', '64']",3,2,"['10', '14']",1,1,['10'],2,"['4', '7']",2,0,[],"['8', '24', '5', '13', '0']"
BA_n100_m6_graph_8,2,"['57', '97']",3,2,"['21', '12']",1.5,0,[],2,"['8', '13']",2,0,[],"['7', '9', '11', '6', '0']"
BA_n100_m6_graph_9,2,"['0', '1']",3,2,"['0', '1']",0,2,"['1', '0']",2,"['0', '13']",0.5,1,['0'],"['7', '8', '12', '9', '19']"
BA_n100_m6_graph_10,2,"['82', '98']",3,2,"['82', '16']",1,1,['82'],2,"['20', '7']",2,0,[],"['12', '5', '9', '10', '0']"
,,,3.2,,,0.95,,,,,1.75,,,
