Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
ER_n100_p0.15_graph_1,2,"['27', '95']",3,2,"['27', '95']",0,2,"['27', '95']",2,"['56', '51']",1.5,0,[],"['81', '28', '54', '9', '96']"
ER_n100_p0.15_graph_2,2,"['36', '97']",3,2,"['36', '15']",1,1,['36'],2,"['14', '76']",2,0,[],"['1', '7', '28', '2', '77']"
ER_n100_p0.15_graph_3,2,"['14', '53']",3,2,"['14', '53']",0,2,"['53', '14']",2,"['43', '57']",2,0,[],"['98', '74', '87', '0', '41']"
ER_n100_p0.15_graph_4,2,"['83', '98']",3,2,"['98', '83']",0,2,"['83', '98']",2,"['33', '36']",1.5,0,[],"['17', '73', '5', '91', '85']"
ER_n100_p0.15_graph_5,2,"['36', '41']",3,2,"['41', '19']",0.5,1,['41'],2,"['13', '0']",2,0,[],"['48', '64', '54', '40', '23']"
ER_n100_p0.15_graph_6,2,"['23', '36']",3,2,"['80', '12']",1,0,[],2,"['97', '17']",1.5,0,[],"['30', '70', '24', '83', '58']"
ER_n100_p0.15_graph_7,2,"['28', '29']",3,2,"['22', '40']",1,0,[],2,"['49', '58']",2,0,[],"['81', '48', '71', '38', '60']"
ER_n100_p0.15_graph_8,2,"['39', '49']",3,2,"['3', '39']",0.5,1,['39'],2,"['39', '81']",0.5,1,['39'],"['94', '1', '48', '12', '52']"
ER_n100_p0.15_graph_9,2,"['5', '8']",3,2,"['1', '62']",1.5,0,[],2,"['52', '48']",2,0,[],"['47', '30', '24', '43', '75']"
ER_n100_p0.15_graph_10,2,"['43', '53']",3,2,"['53', '51']",0.5,1,['53'],2,"['86', '7']",2,0,[],"['16', '54', '80', '91', '52']"
,,,3,,,0.6,,,,,1.7,,,
