Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
WS_n100_k7_p0.15_graph_1,2,"['49', '65']",7,2,"['47', '65']",0.5,1,['65'],2,"['26', '43']",2,0,[],"['64', '66', '12', '9', '77']"
WS_n100_k7_p0.15_graph_2,2,"['29', '55']",6,2,"['27', '48']",2,0,[],2,"['32', '72']",2.5,0,[],"['81', '94', '98', '38', '6']"
WS_n100_k7_p0.15_graph_3,2,"['22', '90']",8,2,"['22', '23']",3,1,['22'],2,"['22', '6']",1,1,['22'],"['64', '24', '43', '21', '41']"
WS_n100_k7_p0.15_graph_4,2,"['35', '94']",6,2,"['35', '37']",2,1,['35'],2,"['93', '2']",1.5,0,[],"['1', '16', '39', '78', '0']"
WS_n100_k7_p0.15_graph_5,2,"['77', '82']",7,2,"['34', '81']",2.5,0,[],2,"['2', '88']",2.5,0,[],"['47', '48', '98', '53', '97']"
WS_n100_k7_p0.15_graph_6,2,"['23', '47']",6,2,"['44', '23']",0.5,1,['23'],2,"['4', '15']",3,0,[],"['35', '26', '91', '31', '99']"
WS_n100_k7_p0.15_graph_7,2,"['34', '62']",6,2,"['62', '64']",2,1,['62'],2,"['30', '29']",3,0,[],"['51', '61', '91', '21', '45']"
WS_n100_k7_p0.15_graph_8,2,"['48', '81']",6,2,"['81', '50']",0.5,1,['81'],2,"['80', '41']",2,0,[],"['7', '53', '9', '75', '77']"
WS_n100_k7_p0.15_graph_9,2,"['24', '99']",6,2,"['89', '21']",2.5,0,[],2,"['73', '41']",2.5,0,[],"['67', '39', '56', '52', '20']"
WS_n100_k7_p0.15_graph_10,2,"['63', '64']",7,2,"['63', '92']",1,1,['63'],2,"['99', '77']",3.5,0,[],"['82', '18', '89', '61', '2']"
,,,6.5,,,1.65,,,,,2.35,,,
