node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.00030903557167672005,0.9212082845560259,0,2,0,0.0,0.0
1,observers,0.00012845056851462327,0.9638886129286606,0,1,1,,
2,2,0.00045605844623276164,0.9216440912034336,0,2,0,0.0,0.0
3,observers,0.0004575477993684912,0.8260771930804671,0,2,1,,
4,source_nodes,0.00034293139195537575,2.033656095414557,0,0,0,1.0,0.0
5,5,0.0006633862713825619,1.436286946532034,0,1,0,0.0,1.0
6,6,0.0004509846688573844,1.2560357946531173,0,2,0,0.0,0.0
7,7,0.00020555942831345435,1.3993405664834542,0,3,0,0.0,0.0
8,8,0.0005068395178606993,1.272342295694763,0,2,0,0.0,0.0
9,9,0.00040653451997200725,1.2529593184111778,0,3,0,0.0,0.0
10,observers,0.0001114767058882198,0.8926625140481865,0,4,1,,
11,11,0.00014629884690606782,1.4822836853235262,0,3,0,0.0,0.0
12,observers,0.00024489201612512383,0.8085751553812222,0,4,1,,
13,13,0.0004895989486579463,0.636629825599825,0,6,0,0.0,0.0
14,14,0.000506114737419446,0.7515314571508348,0,5,0,0.0,0.0
15,15,0.0001315095603448898,0.7060152318859576,0,5,0,0.0,0.0
16,16,0.0005379581885830496,0.9914135090922537,0,4,0,0.0,0.0
17,17,0.0002649248705817938,0.8809235190835843,0,4,0,0.0,0.0
18,18,0.0,0.7677678410991757,0,6,0,0.0,0.0
19,19,0.0002612227212943222,0.8401938963823394,0,3,0,0.0,0.0
20,20,0.0002683703263782845,0.8078746905524812,0,4,0,0.0,0.0
21,21,0.0005600062704721267,0.6970761466013051,0,6,0,0.0,0.0
22,22,0.00036090341207220154,0.7212515119210341,0,6,0,0.0,0.0
23,23,-1.0,0.0,0,-1,0,0.0,0.0
24,24,-1.0,0.0,0,-1,0,0.0,0.0
25,25,-1.0,0.0,0,-1,0,0.0,0.0
26,26,-1.0,0.0,0,-1,0,0.0,0.0
27,27,-1.0,0.0,0,-1,0,0.0,0.0
28,28,-1.0,0.0,0,-1,0,0.0,0.0
29,29,-1.0,0.0,0,-1,0,0.0,0.0
30,30,-1.0,0.0,0,-1,0,0.0,0.0
31,31,-1.0,0.0,0,-1,0,0.0,0.0
32,32,-1.0,0.0,0,-1,0,0.0,0.0
33,33,-1.0,0.0,0,-1,0,0.0,0.0
34,34,-1.0,0.0,0,-1,0,0.0,0.0
35,35,-1.0,0.0,0,-1,0,0.0,0.0
36,36,-1.0,0.0,0,-1,0,0.0,0.0
37,37,0.0005431864970193132,0.6461842712470315,0,6,0,0.0,0.0
38,38,0.000536871080804566,0.8299759260673887,0,5,0,0.0,0.0
39,39,0.0004272319767036379,1.0110487773108159,0,4,0,0.0,0.0
40,40,0.0,1.1833681774374902,0,4,0,0.0,0.0
41,41,0.00025755693954810353,0.9815573626099413,0,4,0,0.0,0.0
42,42,0.00025755693954810353,0.9794782437988975,0,2,0,0.0,0.0
43,43,0.0005378463994641053,1.118620824191203,0,3,0,0.0,0.0
44,44,0.0,0.9308411376582383,0,3,0,0.0,0.0
45,45,0.0004026754530943355,0.9015559796443458,0,4,0,0.0,0.0
46,46,0.00025637660618826766,1.0908087102914656,0,4,0,0.0,0.0
47,47,0.0006596993030744449,1.1818593548606848,0,5,0,0.0,0.0
48,48,0.00042825801576322345,1.00451377742551,0,6,0,0.0,0.0
49,49,0.0,0.8520307652849528,0,4,0,0.0,0.0
50,50,0.00035590141228303393,0.9841723036535472,0,5,0,0.0,0.0
51,51,0.0004809914917047838,1.0084760958777588,0,5,0,0.0,0.0
52,52,0.0004727446044440071,1.170579613128219,0,3,0,0.0,0.0
53,53,0.00011343896455839826,1.1822094609508729,0,4,0,0.0,0.0
54,54,0.0002152212258942017,1.0777907700584552,0,4,0,0.0,0.0
55,55,0.0005947888739851356,1.0746123372692498,0,5,0,0.0,0.0
56,56,0.0005383878625395205,1.2628389680527123,0,4,0,0.0,0.0
57,57,0.00029040935894110513,1.1455917556008253,0,5,0,0.0,0.0
58,58,0.0005977657593795717,0.9794331930441832,0,5,0,0.0,0.0
59,59,0.0,0.6401800643072931,0,6,0,0.0,0.0
60,60,0.0004633664954404266,0.6401444207307206,0,6,0,0.0,0.0
61,61,-1.0,0.0,0,-1,0,0.0,0.0
62,62,-1.0,0.0,0,-1,0,0.0,0.0
63,63,-1.0,0.0,0,-1,0,0.0,0.0
64,64,-1.0,0.0,0,-1,0,0.0,0.0
65,65,0.00015167878478966872,0.2635711241398996,0,6,0,0.0,0.0
66,66,-1.0,0.0,0,-1,0,0.0,0.0
67,67,-1.0,0.0,0,-1,0,0.0,0.0
68,68,-1.0,0.0,0,-1,0,0.0,0.0
69,69,-1.0,0.0,0,-1,0,0.0,0.0
70,70,-1.0,0.0,0,-1,0,0.0,0.0
71,71,-1.0,0.0,0,-1,0,0.0,0.0
72,72,0.0005338506776341816,0.6090931216095522,0,6,0,0.0,0.0
73,73,0.00033201770280000297,0.7734729348808763,0,6,0,0.0,0.0
74,74,0.00011222251768859709,0.9419069668251088,0,6,0,0.0,0.0
75,75,0.0,1.1038122820039917,0,5,0,0.0,0.0
76,76,0.0007749553872780974,1.2107130298602282,0,3,0,0.0,1.0
77,77,0.00033201770280000297,0.9106883117002447,0,6,0,0.0,0.0
78,78,0.00031918540762019274,0.8773482288844037,0,4,0,0.0,0.0
79,79,0.0004968824167344784,0.896424312551117,0,4,0,0.0,0.0
80,80,0.0002595752183495211,1.057246246953553,0,4,0,0.0,0.0
81,81,0.0003967336265455892,1.0541015624623606,0,4,0,0.0,0.0
82,82,0.0004948151186962862,1.0678988629012467,0,3,0,0.0,0.0
83,83,0.00013814275636657748,1.038461247376061,0,3,0,0.0,0.0
84,84,0.00036121927799426186,1.068808165213283,0,3,0,0.0,0.0
85,85,0.0005839642352653647,1.1586625656875116,0,2,0,0.0,0.0
86,86,0.00022842782166927305,0.8439414659724971,0,1,0,0.0,0.0
87,87,0.00022327102141509757,1.127107916679709,0,2,0,0.0,0.0
88,observers,0.00024299178263148248,0.7900772173757696,0,1,1,,
89,source_nodes,0.00022060058408533508,1.6051834107839233,0,0,0,1.0,0.0
90,90,0.0006623565614057293,0.9987971035840575,0,1,0,0.0,0.0
91,91,0.0005359752527169188,0.9839665034919047,0,2,0,0.0,0.0
92,92,0.0005483066016636277,1.1716385517715984,0,1,0,0.0,0.0
93,93,0.00043184892985573373,1.1045258788741823,0,2,0,0.0,0.0
94,94,0.0005485239030420444,1.1327435356509712,0,3,0,0.0,0.0
95,95,0.00038857483403639825,1.0928574100298662,0,3,0,0.0,0.0
96,96,0.0003905720321273085,1.2723378268096126,0,4,0,0.0,0.0
97,97,0.00022152118348040982,0.8030469144880057,0,3,0,0.0,0.0
98,98,0.000373609685398386,1.0845568990122818,0,3,0,0.0,0.0
99,99,0.00048808741643396495,0.7844671203552289,0,2,0,0.0,0.0
