Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
BA_n100_m6_graph_1,2,"['65', '92']",4,2,"['0', '14']",1.5,0,[],2,"['0', '14']",1.5,0,[],"['4', '3', '33', '53', '55']"
BA_n100_m6_graph_2,2,"['78', '86']",3,2,"['0', '8']",1.5,0,[],2,"['0', '8']",1.5,0,[],"['62', '42', '63', '1', '53']"
BA_n100_m6_graph_3,2,"['45', '92']",4,2,"['0', '8']",1.5,0,[],2,"['0', '8']",1.5,0,[],"['65', '2', '64', '66', '49']"
BA_n100_m6_graph_4,2,"['16', '62']",3,2,"['0', '7']",1,0,[],2,"['0', '7']",1,0,[],"['56', '51', '55', '49', '61']"
BA_n100_m6_graph_5,2,"['29', '96']",3,2,"['8', '7']",1,0,[],2,"['8', '0']",1.5,0,[],"['56', '60', '64', '57', '66']"
BA_n100_m6_graph_6,2,"['12', '70']",3,2,"['0', '7']",1.5,0,[],2,"['7', '20']",1.5,0,[],"['56', '37', '58', '55', '34']"
BA_n100_m6_graph_7,2,"['10', '41']",3,2,"['0', '10']",0.5,1,['10'],2,"['0', '5']",1,0,[],"['2', '67', '54', '49', '68']"
BA_n100_m6_graph_8,2,"['80', '90']",3,2,"['7', '0']",1.5,0,[],2,"['7', '0']",1.5,0,[],"['62', '48', '60', '59', '61']"
BA_n100_m6_graph_9,2,"['39', '68']",3,2,"['8', '7']",1.5,0,[],2,"['8', '7']",1.5,0,[],"['73', '72', '63', '60', '61']"
BA_n100_m6_graph_10,2,"['22', '74']",3,2,"['9', '0']",1.5,0,[],2,"['0', '9']",1.5,0,[],"['44', '52', '1', '38', '47']"
,,,3.2,,,1.3,,,,,1.4,,,
