Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
ER_n100_p0.15_graph_1,2,"['59', '83']",3,2,"['96', '9']",1,0,[],2,"['50', '73']",2,0,[],"['31', '29', '45', '86', '20']"
ER_n100_p0.15_graph_2,2,"['20', '84']",3,2,"['2', '20']",1,1,['20'],2,"['1', '7']",2,0,[],"['96', '72', '35', '40', '23']"
ER_n100_p0.15_graph_3,2,"['80', '93']",3,2,"['41', '74']",1,0,[],2,"['74', '60']",1.5,0,[],"['31', '8', '77', '1', '54']"
ER_n100_p0.15_graph_4,2,"['3', '82']",3,2,"['22', '91']",1.5,0,[],2,"['33', '62']",1.5,0,[],"['52', '6', '90', '40', '87']"
ER_n100_p0.15_graph_5,2,"['42', '56']",3,2,"['56', '23']",1,1,['56'],2,"['23', '0']",1.5,0,[],"['65', '9', '76', '95', '14']"
ER_n100_p0.15_graph_6,2,"['2', '25']",3,2,"['83', '70']",2,0,[],2,"['40', '63']",2,0,[],"['45', '9', '54', '14', '61']"
ER_n100_p0.15_graph_7,2,"['13', '18']",3,2,"['26', '81']",1.5,0,[],2,"['21', '39']",1.5,0,[],"['11', '45', '62', '37', '63']"
ER_n100_p0.15_graph_8,2,"['22', '85']",3,2,"['12', '75']",1.5,0,[],2,"['48', '39']",1.5,0,[],"['41', '37', '71', '38', '36']"
ER_n100_p0.15_graph_9,2,"['2', '13']",3,2,"['43', '47']",1.5,0,[],2,"['72', '53']",1.5,0,[],"['16', '11', '29', '25', '68']"
ER_n100_p0.15_graph_10,2,"['1', '30']",3,2,"['54', '80']",1.5,0,[],2,"['52', '51']",2,0,[],"['31', '45', '35', '34', '40']"
,,,3,,,1.35,,,,,1.7,,,
