Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
WS_n100_k7_p0.15_graph_1,2,"['20', '75']",7,2,"['8', '9']",2.5,0,[],2,"['55', '85']",3.5,0,[],"['13', '5', '1', '10', '86']"
WS_n100_k7_p0.15_graph_2,2,"['11', '78']",6,2,"['11', '81']",1,1,['11'],2,"['1', '37']",2,0,[],"['8', '45', '59', '0', '87']"
WS_n100_k7_p0.15_graph_3,2,"['4', '89']",8,2,"['4', '89']",0,2,"['4', '89']",2,"['76', '5']",3,0,[],"['3', '1', '10', '12', '88']"
WS_n100_k7_p0.15_graph_4,2,"['33', '68']",6,2,"['68', '9']",1.5,1,['68'],2,"['0', '37']",2.5,0,[],"['41', '3', '15', '10', '12']"
WS_n100_k7_p0.15_graph_5,2,"['29', '84']",7,2,"['88', '45']",2.5,0,[],2,"['45', '42']",2.5,0,[],"['82', '73', '37', '99', '38']"
WS_n100_k7_p0.15_graph_6,2,"['53', '85']",6,2,"['27', '81']",3,0,[],2,"['31', '79']",2,0,[],"['13', '16', '8', '9', '0']"
WS_n100_k7_p0.15_graph_7,2,"['83', '98']",6,2,"['98', '95']",1.5,1,['98'],2,"['91', '59']",3,0,[],"['4', '77', '9', '93', '0']"
WS_n100_k7_p0.15_graph_8,2,"['83', '88']",6,2,"['80', '0']",2,0,[],2,"['81', '53']",1.5,0,[],"['26', '60', '2', '30', '78']"
WS_n100_k7_p0.15_graph_9,2,"['10', '18']",6,2,"['4', '6']",2.5,0,[],2,"['86', '21']",2,0,[],"['99', '2', '60', '12', '7']"
WS_n100_k7_p0.15_graph_10,2,"['1', '18']",7,2,"['1', '77']",1.5,1,['1'],2,"['59', '55']",3,0,[],"['75', '3', '25', '66', '0']"
,,,6.5,,,1.8,,,,,2.5,,,
