node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.0006322416857456108,1.103929707366207,0,4,0,0.0,0.0
1,1,0.0005240520396136676,1.105539481271084,0,5,0,0.0,0.0
2,2,0.0007964770941018913,0.986768832344898,0,4,0,0.0,0.0
3,3,0.0008073315246574852,1.1709645680543586,0,4,0,0.0,0.0
4,4,0.0007949611966148057,1.1731757725473124,0,4,0,0.0,0.0
5,5,0.00044367917187559285,0.8954352050739336,0,4,0,0.0,0.0
6,6,0.0006975953717944234,1.1293264374691936,0,4,0,0.0,0.0
7,7,0.0006344807483904108,1.002840256037208,0,3,0,0.0,0.0
8,8,0.0006848961162072743,1.156264436421302,0,2,0,0.0,0.0
9,9,0.000783251574002913,1.0307200864914934,0,3,0,0.0,0.0
10,10,0.00010238753012702054,1.1020278439536366,0,2,0,0.0,0.0
11,11,0.0007010187514256203,1.0276575703264224,0,3,0,0.0,0.0
12,12,0.0009722013677641306,1.1216234368788276,0,2,0,0.0,0.0
13,13,0.0008203178863353171,1.0520330831371356,0,1,0,0.0,0.0
14,14,0.000584039649380733,0.9180362221514535,0,3,0,0.0,0.0
15,15,0.0008880454304639896,0.9400906113675199,0,2,0,0.0,0.0
16,16,0.0007750978808583027,1.2117210640371463,0,1,0,0.0,0.0
17,17,0.000544902014355844,0.9408096096554847,0,2,0,0.0,0.0
18,source_nodes,0.00044223424381289675,1.3487042565655094,0,0,0,0.0,0.0
19,19,0.000759297195159301,1.1204801834837754,0,1,0,0.0,0.0
20,20,0.0005505179849996718,1.0855077193804337,0,1,0,0.0,0.0
21,21,0.0005516659276780939,1.0666176629213955,0,2,0,0.0,0.0
22,22,0.00044614142390280554,1.0964273487212222,0,2,0,0.0,0.0
23,23,0.0005562793888749825,1.1496739860321414,0,1,0,0.0,0.0
24,24,0.00044816451162188074,0.9466349391903863,0,2,0,0.0,0.0
25,25,0.00032946496176584553,1.1413656529793026,0,2,0,0.0,0.0
26,26,0.00010756978378718023,1.27170408636903,0,3,0,0.0,0.0
27,27,0.00022022891321513155,1.3756423828676532,0,2,0,0.0,0.0
28,28,0.0001127383969998918,1.299468845414994,0,2,0,0.0,0.0
29,29,0.001107522507116992,1.1983113302086315,0,2,0,0.0,0.0
30,30,0.0003354261146219889,1.7213872300681212,0,2,0,0.0,0.0
31,31,0.001068345556062979,1.3324379639056112,0,1,0,0.0,0.0
32,32,0.0009438121647710894,1.3442718777714728,0,1,0,0.0,0.0
33,33,0.0009537230116613755,1.4222684782392283,0,1,0,0.0,0.0
34,source_nodes,0.0007350586593063407,1.258746139145391,0,0,0,0.0,0.0
35,35,0.00021131994613575203,1.1964677126263208,0,1,0,0.0,0.0
36,36,0.0006622326062019565,1.9854038476510432,0,3,0,0.0,0.0
37,37,0.0005014845626925704,1.3101739232910035,0,4,0,0.0,0.0
38,38,0.0006596871648358625,1.2250490955763007,0,2,0,0.0,0.0
39,39,0.0005558338550656299,1.0770841132512747,0,4,0,0.0,0.0
40,40,0.00031785281613352516,1.1782557560072935,0,4,0,0.0,0.0
41,41,0.0004440028235649751,0.9635259272159772,0,4,0,0.0,0.0
42,42,0.00020837653859777854,1.0223182571161344,0,3,0,0.0,0.0
43,43,0.0003108826121725254,1.192190421713302,0,3,0,0.0,0.0
44,44,0.00010219688303657116,1.1087739008926618,0,4,0,0.0,0.0
45,45,0.0010933683352479194,1.1256530363020734,0,4,0,0.0,0.0
46,46,0.0011633389026531158,1.072380396616778,0,5,0,0.0,0.0
47,47,0.00010461946348756506,1.002959277631636,0,4,0,0.0,0.0
48,observers,0.0008040455046424977,1.0606689253243167,0,5,1,,
49,49,0.0007567918828878966,0.8219087112409479,0,5,0,0.0,0.0
50,50,0.0005346306398052018,0.891592776870212,0,5,0,0.0,0.0
51,51,0.0007726336577431197,1.054464919657046,0,4,0,0.0,0.0
52,52,0.0008889170787393502,0.9793512372439136,0,4,0,0.0,0.0
53,53,0.00047064643030237725,0.9535908486669993,0,5,0,0.0,0.0
54,54,0.000694550523232829,1.1191306143011912,0,4,0,0.0,0.0
55,55,0.00047118130149181376,0.9405407455121567,0,4,0,0.0,0.0
56,56,0.0006862508401542144,1.043388735041324,0,5,0,0.0,0.0
57,57,0.0001107116910322285,0.8714635106470153,0,3,0,0.0,0.0
58,58,0.0006780172317260218,0.8732623003694158,0,3,0,0.0,0.0
59,59,0.0003336598434699534,0.8269167931609953,0,4,0,0.0,0.0
60,60,0.00021748771367182735,0.841062756047753,0,4,0,0.0,0.0
61,61,0.0006629716337275313,1.0710863533900299,0,2,0,0.0,0.0
62,observers,0.0011989051666546292,1.4432768285159128,0,2,1,,
63,63,0.00010744561614144266,0.9422296727952183,0,3,0,0.0,0.0
64,64,0.0009109362066789551,0.7177867346698684,0,3,0,0.0,0.0
65,65,0.0,0.8857421059701184,0,4,0,0.0,0.0
66,observers,0.0009441309739749226,0.7062456387474636,0,3,1,,
67,67,0.001024123180354472,0.7858148557415647,0,4,0,0.0,0.0
68,68,0.0002168103909117052,0.867319978953825,0,4,0,0.0,0.0
69,69,0.0009952670535539414,0.8482689773542317,0,4,0,0.0,0.0
70,70,0.0008609624497701644,0.7939227837846519,0,5,0,0.0,0.0
71,71,0.0006001201297011929,0.8268893582094209,0,5,0,0.0,0.0
72,72,0.0008196388862245624,0.9493057071637968,0,4,0,0.0,0.0
73,73,0.0005829865580513918,0.8134022972108753,0,5,0,0.0,0.0
74,74,0.0003453559829923265,0.8405225989176492,0,3,0,0.0,0.0
75,75,0.0005727646477648942,0.9466591077076224,0,4,0,0.0,0.0
76,76,0.0005558096746859451,0.7705426369353915,0,4,0,0.0,0.0
77,77,0.0006464965363344483,1.1287742026613066,0,4,0,0.0,0.0
78,78,0.0005638172691858204,0.9471083783361596,0,4,0,0.0,0.0
79,79,0.0005414568267593446,0.9816310802759485,0,3,0,0.0,0.0
80,80,0.0005408684570314023,0.9525072624443743,0,5,0,0.0,0.0
81,81,0.00043580961945276865,0.8681541595647846,0,5,0,0.0,0.0
82,82,0.00043633207821344136,0.8792316069021665,0,5,0,0.0,0.0
83,83,0.0004334598260709589,0.9724979985887026,0,5,0,0.0,0.0
84,84,0.00033014460583295096,0.9659734121961174,0,5,0,0.0,0.0
85,85,0.00044760463987740534,0.9736743980248841,0,5,0,0.0,0.0
86,86,0.000460853932593765,0.7986185040723018,0,6,0,0.0,0.0
87,87,0.0004538456365864854,0.9685944173233547,0,6,0,0.0,0.0
88,88,0.0005837393039237519,0.8976466156328744,0,5,0,0.0,0.0
89,89,0.0004962391378717186,0.971331593815024,0,5,0,0.0,0.0
90,90,0.0006123141570065048,0.9867149353991534,0,5,0,0.0,0.0
91,91,0.0004938024475717288,0.9997371904545431,0,4,0,0.0,0.0
92,92,0.0006140305646958292,0.9840146378457942,0,5,0,0.0,0.0
93,observers,0.0006276738281439394,0.80684037710668,0,6,1,,
94,94,0.00037368010847778425,1.2101070036458372,0,4,0,0.0,0.0
95,95,0.0005080697446725444,0.9781143182977807,0,3,0,0.0,0.0
96,96,0.00047774484574822444,1.0721024116515803,0,5,0,0.0,0.0
97,97,0.00023328096340413177,0.836620206207296,0,5,0,0.0,0.0
98,98,0.00024185391222168517,0.9956112972108179,0,4,0,0.0,0.0
99,99,0.0006046375349723234,0.8130211049401742,0,4,0,0.0,0.0
100,100,0.0001191119137905385,0.9790015518376757,0,5,0,0.0,0.0
101,101,0.0,0.8241382107362566,0,4,0,0.0,0.0
102,102,0.0004892869757515826,1.432431190298415,0,3,0,0.0,0.0
103,103,0.0009425572920811532,0.8066511783583166,0,4,0,0.0,0.0
104,104,0.0010111544041045701,0.9362874763844579,0,5,0,0.0,0.0
105,105,0.0010434219658261897,1.0193712502403316,0,5,0,0.0,0.0
106,observers,0.0012244435992413993,1.1259484692807669,0,4,1,,
107,107,0.0009261529287517117,0.9072405234090517,0,4,0,0.0,0.0
108,108,0.0005497089655372308,0.7825768276484149,0,6,0,0.0,0.0
109,109,0.00043970020267383074,0.7730595256446484,0,6,0,0.0,0.0
110,110,0.0012145912372865024,1.046953518181403,0,4,0,0.0,1.0
111,111,0.0003557516499594663,0.7792939693590902,0,5,0,0.0,0.0
112,112,0.000705580508023326,0.7746736103220098,0,6,0,0.0,0.0
113,113,0.0007558120005433234,0.934178447711897,0,5,0,0.0,0.0
114,114,0.0004994102135000884,0.8682772057109163,0,5,0,0.0,0.0
115,115,0.000535394191034637,0.7933731291188135,0,5,0,0.0,0.0
116,116,0.0005557998171736802,0.8945335402947096,0,5,0,0.0,0.0
117,117,0.0009064755330994591,0.9900392382643864,0,6,0,0.0,0.0
118,118,0.0007836045162102022,0.9984332130515021,0,6,0,0.0,0.0
119,119,0.0,0.8378985298717619,0,5,0,0.0,0.0
120,120,0.0007648417885760902,0.8356125036964114,0,6,0,0.0,0.0
121,121,0.0006736248928259973,0.8399974193234705,0,5,0,0.0,0.0
122,122,0.0009220068068759398,1.097297303739661,0,4,0,0.0,0.0
123,123,0.00043577955150895435,0.9618321886640308,0,5,0,0.0,0.0
124,124,0.0007094321225101444,0.8526274768103438,0,5,0,0.0,0.0
125,125,0.0006622419020795689,0.9169816504571053,0,5,0,0.0,0.0
126,126,0.00032488415993735855,0.942216536864734,0,5,0,0.0,0.0
127,127,0.00020715383352621573,1.1063776975308834,0,4,0,0.0,0.0
128,128,0.00036301301740676513,1.2882117167881355,0,4,0,0.0,0.0
129,129,0.00022609586781928241,1.2174898354862946,0,4,0,0.0,0.0
130,observers,0.0007437630161155019,0.8720522988027372,0,4,1,,
131,131,0.000876498294930891,0.9115395568516923,0,4,0,0.0,0.0
132,132,0.0009953848508834622,1.521778441077139,0,3,0,0.0,0.0
133,133,0.0010752078567688554,0.9612609218618288,0,4,0,0.0,0.0
134,134,0.00042055760855804175,0.8468347623332039,0,4,0,0.0,0.0
135,135,0.0,1.276448850690436,0,3,0,0.0,0.0
136,136,0.0006636377925399351,1.0766920986906126,0,3,0,0.0,0.0
137,137,0.0005691604871439595,1.0030687204918776,0,3,0,0.0,0.0
138,138,0.0006626246280255056,1.1127538635034173,0,2,0,0.0,0.0
139,139,0.0008209545408425225,1.338119372141395,0,2,0,0.0,0.0
140,140,0.00046663441245409784,0.9460843697090419,0,1,0,0.0,0.0
141,141,0.0006144507815047737,0.9542008252116283,0,1,0,0.0,0.0
142,142,0.00023970339936595395,0.8421989692072887,0,1,0,0.0,0.0
143,143,0.0005777636333935827,1.0255431127486139,0,1,0,0.0,0.0
144,source_nodes,0.0007030743690590759,1.1333808862921733,0,0,0,0.0,0.0
145,145,0.0005743146159913891,0.9436226304488129,0,2,0,0.0,0.0
146,146,0.0005511152683694787,0.9416240141888236,0,2,0,0.0,0.0
147,147,0.0,1.0370538648585435,0,1,0,0.0,0.0
148,148,0.0006448027092300383,0.9236963456364966,0,1,0,0.0,0.0
149,149,0.0007507200257381377,1.016859274382285,0,2,0,0.0,0.0
150,150,0.00033522533658306765,0.9120608760112169,0,3,0,0.0,0.0
151,151,0.00042688818939703055,0.9785365914811621,0,3,0,0.0,0.0
152,152,0.0006596903231860019,1.0929861017706457,0,2,0,0.0,0.0
153,153,0.00044354140899334086,0.9856628625941105,0,2,0,0.0,0.0
154,154,0.00043128136698500043,0.8918819771441598,0,3,0,0.0,0.0
155,155,0.0003294039683751776,0.8889142803679879,0,4,0,0.0,0.0
156,156,0.00042493000396573536,0.9721655064540533,0,3,0,0.0,0.0
157,157,0.0004243356877826918,0.9610470943528798,0,3,0,0.0,0.0
158,158,0.00031218757578177286,0.8994011402295308,0,3,0,0.0,0.0
159,159,0.0007600996772751235,1.180365866530445,0,2,0,0.0,0.0
160,160,0.00030789010590667986,0.8906602546282513,0,3,0,0.0,0.0
161,161,0.00030963991682025785,0.9944652017476885,0,4,0,0.0,0.0
162,162,0.00031178477404916093,0.9827099155745804,0,4,0,0.0,0.0
