Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
BA_n500_m10_graph_1,5,"['50', '90', '95', '109', '498']",4,5,"['12', '13', '14', '11', '15']",1.2,0,[],5,"['57', '12', '13', '64', '3']",1.4,0,[],"['59', '142', '332', '476', '165', '395', '291', '277', '172', '485', '304', '271', '401', '299', '388', '448', '0', '410', '196', '471', '270', '147', '70', '396', '184']"
BA_n500_m10_graph_2,5,"['2', '57', '105', '194', '499']",4,5,"['15', '0', '28', '14', '13']",1.2,0,[],5,"['0', '28', '15', '21', '1']",1,0,[],"['53', '434', '364', '460', '216', '231', '135', '466', '35', '84', '293', '256', '54', '299', '345', '37', '397', '49', '435', '322', '33', '39', '308', '409', '83']"
BA_n500_m10_graph_3,5,"['172', '233', '292', '367', '452']",4,5,"['0', '11', '16', '12', '18']",1.6,0,[],5,"['60', '44', '38', '40', '43']",1.8,0,[],"['53', '89', '64', '463', '449', '77', '395', '481', '185', '71', '485', '304', '383', '68', '494', '380', '220', '461', '246', '394', '280', '403', '308', '50', '285']"
BA_n500_m10_graph_4,5,"['111', '193', '355', '413', '432']",3,5,"['14', '16', '13', '12', '0']",1.2,0,[],5,"['12', '13', '48', '14', '6']",1.2,0,[],"['282', '343', '215', '305', '77', '462', '91', '291', '31', '277', '172', '281', '497', '317', '288', '232', '127', '124', '488', '238', '246', '15', '470', '148', '162']"
BA_n500_m10_graph_5,5,"['8', '32', '336', '344', '398']",4,5,"['12', '14', '0', '32', '11']",1,1,['32'],5,"['17', '20', '19', '16', '34']",1.8,0,[],"['268', '53', '21', '364', '135', '3', '485', '129', '498', '153', '168', '178', '247', '18', '361', '382', '106', '309', '140', '95', '7', '493', '214', '83', '10']"
BA_n500_m10_graph_6,5,"['15', '26', '138', '213', '245']",4,5,"['15', '11', '26', '12', '20']",1,2,"['26', '15']",5,"['15', '41', '26', '36', '11']",1.2,2,"['26', '15']","['142', '340', '464', '259', '443', '63', '436', '242', '411', '408', '55', '402', '357', '161', '326', '377', '243', '9', '196', '39', '96', '450', '131', '446', '298']"
BA_n500_m10_graph_7,5,"['22', '35', '49', '248', '260']",4,5,"['22', '0', '15', '17', '11']",0.8,1,['22'],5,"['22', '20', '41', '23', '0']",1,1,['22'],"['100', '252', '436', '179', '169', '44', '373', '43', '189', '339', '247', '60', '345', '111', '37', '56', '427', '219', '374', '238', '324', '24', '429', '470', '50']"
BA_n500_m10_graph_8,5,"['216', '227', '265', '318', '477']",4,5,"['13', '15', '23', '16', '14']",1.2,0,[],5,"['13', '23', '15', '27', '28']",1.4,0,[],"['76', '454', '119', '72', '462', '31', '250', '143', '263', '191', '480', '55', '178', '326', '47', '97', '479', '0', '342', '81', '297', '96', '459', '184', '10']"
BA_n500_m10_graph_9,5,"['225', '321', '390', '424', '429']",4,5,"['12', '11', '390', '0', '7']",1.2,1,['390'],5,"['12', '6', '7', '11', '0']",1.4,0,[],"['268', '13', '170', '438', '199', '481', '291', '63', '169', '375', '52', '41', '22', '212', '191', '55', '108', '345', '329', '326', '73', '183', '334', '214', '184']"
BA_n500_m10_graph_10,5,"['31', '34', '186', '250', '461']",4,5,"['14', '12', '20', '0', '11']",1,0,[],5,"['0', '12', '14', '20', '63']",1,0,[],"['460', '447', '260', '252', '486', '181', '109', '466', '373', '288', '271', '146', '360', '221', '37', '49', '65', '258', '376', '48', '130', '273', '248', '458', '298']"
,,,3.9,,,1.14,,,,,1.32,,,
