Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
ER_n500_p0.15_graph_2,5,"['173', '265', '289', '402', '429']",2,5,"['173', '402', '289', '265', '136']",0.2,4,"['173', '289', '265', '402']",5,"['386', '360', '390', '385', '436']",1.4,0,[],"['282', '38', '287', '343', '269', '433', '25', '407', '84', '179', '176', '304', '128', '168', '271', '20', '379', '80', '372', '492', '81', '273', '39', '459', '310']"
ER_n500_p0.15_graph_1,5,"['36', '78', '126', '299', '322']",3,5,"['78', '322', '195', '126', '303']",0.8,3,"['78', '126', '322']",5,"['421', '323', '350', '419', '279']",1.6,0,[],"['400', '468', '332', '175', '227', '236', '413', '226', '424', '451', '497', '402', '347', '58', '472', '34', '152', '243', '348', '163', '448', '67', '196', '39', '310']"
ER_n500_p0.15_graph_3,5,"['1', '95', '304', '349', '477']",3,5,"['349', '1', '304', '477', '95']",0,5,"['349', '477', '95', '1', '304']",5,"['405', '448', '398', '440', '429']",1.6,0,[],"['416', '230', '2', '36', '90', '40', '14', '257', '176', '68', '286', '317', '4', '347', '58', '37', '150', '173', '117', '121', '6', '81', '378', '50', '132']"
ER_n500_p0.15_graph_4,5,"['8', '176', '201', '389', '445']",3,5,"['389', '8', '445', '201', '234']",0.4,4,"['8', '445', '389', '201']",5,"['364', '432', '410', '485', '309']",1.6,0,[],"['2', '320', '208', '340', '181', '497', '28', '494', '128', '420', '339', '371', '4', '104', '111', '73', '124', '461', '377', '390', '341', '264', '246', '499', '396']"
ER_n500_p0.15_graph_5,5,"['64', '185', '380', '421', '479']",3,5,"['479', '185', '64', '421', '69']",0.4,4,"['479', '421', '64', '185']",5,"['422', '382', '358', '402', '412']",1.6,0,[],"['320', '141', '447', '463', '269', '227', '337', '105', '166', '370', '172', '328', '278', '22', '138', '156', '318', '37', '47', '97', '164', '456', '309', '103', '136']"
ER_n500_p0.15_graph_6,5,"['55', '250', '428', '430', '450']",3,5,"['430', '55', '428', '250', '13']",0.2,4,"['430', '250', '428', '55']",5,"['401', '421', '434', '473', '390']",1.2,0,[],"['89', '343', '418', '453', '365', '462', '35', '277', '11', '129', '352', '110', '386', '212', '380', '245', '469', '275', '65', '264', '217', '48', '139', '147', '198']"
ER_n500_p0.15_graph_7,5,"['23', '247', '404', '413', '461']",3,5,"['404', '461', '413', '23', '247']",0,5,"['247', '413', '461', '404', '23']",5,"['449', '397', '387', '363', '429']",1.4,0,[],"['14', '91', '321', '251', '52', '352', '171', '112', '55', '422', '299', '75', '182', '415', '221', '355', '93', '97', '258', '264', '394', '134', '324', '15', '285']"
ER_n500_p0.15_graph_8,5,"['16', '156', '231', '241', '349']",2,5,"['156', '231', '349', '241', '16']",0,5,"['349', '241', '16', '156', '231']",5,"['372', '419', '388', '303', '381']",1.6,0,[],"['170', '447', '269', '77', '122', '327', '375', '451', '172', '314', '159', '494', '212', '271', '192', '4', '26', '221', '79', '97', '379', '309', '140', '399', '151']"
ER_n500_p0.15_graph_9,5,"['13', '192', '232', '355', '372']",2,5,"['13', '355', '192', '232', '226']",0.4,4,"['13', '355', '232', '192']",5,"['374', '404', '421', '445', '418']",1.6,0,[],"['69', '349', '197', '21', '240', '99', '486', '395', '466', '241', '321', '251', '451', '52', '255', '94', '60', '78', '229', '180', '334', '121', '499', '233', '393']"
ER_n500_p0.15_graph_10,5,"['4', '94', '305', '365', '498']",2,5,"['305', '94', '4', '365', '498']",0,5,"['4', '498', '305', '365', '94']",5,"['456', '466', '356', '353', '424']",1.4,0,[],"['240', '167', '414', '332', '236', '105', '257', '413', '375', '431', '28', '62', '286', '330', '212', '339', '398', '220', '472', '229', '150', '47', '133', '131', '483']"
,,,2.6,,,0.24,,,,,1.5,,,
