Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
WS_n100_k7_p0.15_graph_1,2,"['22', '29']",7,2,"['22', '63']",1,1,['22'],2,"['9', '99']",3,0,[],"['21', '20', '41', '61', '80']"
WS_n100_k7_p0.15_graph_2,2,"['80', '98']",6,2,"['79', '80']",2,1,['80'],2,"['94', '5']",2.5,0,[],"['87', '81', '82', '43', '83']"
WS_n100_k7_p0.15_graph_3,2,"['53', '55']",8,2,"['89', '47']",2,0,[],2,"['41', '5']",2.5,0,[],"['86', '37', '68', '44', '94']"
WS_n100_k7_p0.15_graph_4,2,"['48', '62']",6,2,"['48', '59']",0.5,1,['48'],2,"['43', '58']",2,0,[],"['86', '49', '57', '70', '98']"
WS_n100_k7_p0.15_graph_5,2,"['30', '50']",7,2,"['81', '27']",1.5,0,[],2,"['88', '53']",2.5,0,[],"['69', '35', '36', '24', '29']"
WS_n100_k7_p0.15_graph_6,2,"['44', '71']",6,2,"['79', '6']",2.5,0,[],2,"['95', '81']",3,0,[],"['53', '7', '82', '50', '94']"
WS_n100_k7_p0.15_graph_7,2,"['51', '94']",6,2,"['60', '94']",1.5,1,['94'],2,"['19', '71']",3,0,[],"['75', '11', '37', '97', '62']"
WS_n100_k7_p0.15_graph_8,2,"['44', '51']",6,2,"['41', '53']",1.5,0,[],2,"['74', '4']",4,0,[],"['34', '56', '47', '70', '80']"
WS_n100_k7_p0.15_graph_9,2,"['24', '52']",6,2,"['55', '41']",2.5,0,[],2,"['20', '56']",2.5,0,[],"['63', '84', '38', '47', '72']"
WS_n100_k7_p0.15_graph_10,2,"['4', '89']",7,2,"['91', '95']",2.5,0,[],2,"['82', '46']",2.5,0,[],"['79', '40', '96', '72', '16']"
,,,6.5,,,1.75,,,,,2.75,,,
