node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.003304096390514736,3.5114686040899223,0,2,0,1.0,1.0
1,1,0.00025710816449843205,0.42748730534267404,0,3,0,0.0,0.0
2,2,0.001020914498886684,1.2605530047279079,0,2,0,0.0,0.0
3,3,0.0005079073266134849,0.6777762803085546,0,2,0,0.0,0.0
4,4,0.0012731134444679212,1.2719174223204726,0,2,0,0.0,0.0
5,5,0.0025892971447630904,3.055520698311327,0,2,0,0.0,0.0
6,observers,0.0009821906441001911,1.3186213381240361,0,3,1,,
7,7,0.0015276337902359553,2.455684360881477,0,1,0,0.0,0.0
8,8,0.0026656244756345744,3.2370735801801938,0,1,0,1.0,1.0
9,9,0.002754578120294382,3.5315182080695644,0,2,0,1.0,1.0
10,10,0.0014885787827001657,2.405374171372815,0,2,0,0.0,0.0
11,11,0.0005830948395697611,1.4220689693188224,0,2,0,0.0,0.0
12,12,0.0020189462470580634,2.847256740375347,0,2,0,0.0,0.0
13,13,0.0010154491670190957,1.8819162798041038,0,3,0,0.0,0.0
14,14,0.0006508751713360625,1.2789529514744762,0,2,0,0.0,0.0
15,15,0.0010704809152384748,2.164175072199021,0,1,0,0.0,0.0
16,observers,0.00045857464741064235,1.1983890451912496,0,3,1,,
17,17,0.0005607850269721718,1.0773415560531159,0,3,0,0.0,0.0
18,18,0.0006832342030022175,1.3257852095290983,0,3,0,0.0,0.0
19,19,0.0002342369597649068,1.1827589158205127,0,2,0,0.0,0.0
20,20,0.0009473014110769963,2.0154658839325714,0,2,0,0.0,0.0
21,21,0.0007158516103362492,1.5066845188562417,0,2,0,0.0,0.0
22,22,0.00010180486341317709,1.0284445108826032,0,3,0,0.0,0.0
23,23,0.0002370984134718099,0.9950023440899857,0,1,0,0.0,0.0
24,24,0.00031878995960857054,0.962353809957637,0,2,0,0.0,0.0
25,25,0.00033093505827270657,1.1257091883388222,0,3,0,0.0,0.0
26,26,0.000425801315551721,1.3554878530261951,0,2,0,0.0,0.0
27,27,0.000736025312002632,1.4651196239808826,0,3,0,0.0,0.0
28,28,0.00010180486341317709,0.9542193660054676,0,2,0,0.0,0.0
29,29,0.00022170860929590728,1.1425725740753805,0,3,0,0.0,0.0
30,30,0.0010539941317140218,0.8004671482696826,0,3,0,0.0,0.0
31,31,0.00010655625545568466,0.8098229733803656,0,3,0,0.0,0.0
32,32,0.00093758358977874,0.7342440289488359,0,3,0,0.0,0.0
33,33,0.00010655625545568466,1.105463319283676,0,3,0,0.0,0.0
34,34,0.001304980743059251,0.9642334881552839,0,3,0,0.0,0.0
