node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.013809689054055071,10.556997807575346,0,1,0,1.0,1.0
1,1,0.0061381854880322075,4.723998887137316,0,2,0,1.0,1.0
2,2,0.0026043213452059868,1.9839548636604993,0,2,0,0.0,0.0
3,observers,0.0027519594966338625,1.9027844670594076,0,2,1,,
4,4,0.005592355896805984,4.649062186848313,0,2,0,1.0,1.0
5,5,0.004470034250397973,3.39680595107971,0,2,0,0.0,0.0
6,6,0.0036075196250022878,2.7516596404999274,0,2,0,0.0,0.0
7,7,0.004514599416787996,3.6373080226345333,0,2,0,0.0,0.0
8,8,0.01647686211363965,13.032822652461991,0,1,0,1.0,1.0
9,9,0.004941620978610116,5.40914931562607,0,2,0,1.0,1.0
10,10,0.00939778284935229,6.904006827382227,0,2,0,1.0,1.0
11,11,0.0030126391259008047,3.0488197535615127,0,2,0,0.0,0.0
12,12,0.007007444629472416,6.046893896147526,0,2,0,1.0,1.0
13,13,0.007406367641801289,6.3938482372143906,0,2,0,1.0,1.0
14,14,0.006322004044142472,6.4387025547936725,0,2,0,1.0,1.0
15,15,0.0069584710573976916,5.580613681894421,0,2,0,1.0,1.0
16,observers,0.00623700234277034,5.657880987598466,0,1,1,,
17,17,0.002928328919845459,2.654816886537266,0,1,0,0.0,0.0
18,18,0.004862754662574021,4.409914127296698,0,1,0,0.0,1.0
19,19,0.004688122442749398,4.317385511748017,0,2,0,0.0,0.0
20,20,0.007930943029695499,7.022238201973309,0,1,0,1.0,1.0
21,21,0.003719784262821026,3.9058554565628048,0,2,0,0.0,0.0
22,22,0.0053105678747946295,4.682855662323784,0,2,0,1.0,1.0
23,23,0.00031754600800335144,3.3997885597243087,0,1,0,0.0,0.0
24,24,0.003791446514385688,3.752258311956282,0,1,0,0.0,0.0
25,25,0.003318842490931043,3.6471365758934957,0,2,0,0.0,0.0
26,26,0.002314903628408547,2.788096164128504,0,2,0,0.0,0.0
27,27,0.0035894879687126107,3.499450208859192,0,3,0,0.0,0.0
28,28,0.0038834677910230425,3.3566738523005215,0,1,0,0.0,0.0
