node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,observers,0.005021703596137952,0.8684208174938118,0,2,1,,
1,1,0.004922023593198901,0.9847851650179407,0,1,0,0.0,0.0
2,2,0.006911459046974247,1.171141590832842,0,2,0,0.0,0.0
3,3,0.005609727588584693,0.9958928950343597,0,2,0,0.0,0.0
4,4,0.004881145934060305,0.877753296025039,0,2,0,0.0,0.0
5,5,0.005717250180347184,0.9574005115255754,0,2,0,0.0,0.0
6,6,0.0044778372045873255,0.8289542554570623,0,2,0,0.0,0.0
7,7,0.005795443603393254,1.089356013560408,0,2,0,0.0,0.0
8,8,0.004877792087267888,0.9379105954674596,0,2,0,0.0,0.0
9,9,0.0041235855541569295,0.8039650146677343,0,2,0,0.0,0.0
10,10,0.007286934351229463,1.21959532202417,0,1,0,0.0,0.0
11,11,0.005901063897813446,0.9895135113280928,0,2,0,0.0,0.0
12,12,0.005825295838354707,1.1983416948239298,0,1,0,0.0,0.0
13,observers,0.005455117243930763,0.936999530031619,0,2,1,,
14,14,0.004951257472107452,0.9610771235718337,0,2,0,0.0,0.0
15,15,0.007007809637684126,1.1409647623962809,0,1,0,0.0,0.0
16,16,0.005848378456419408,1.0280144215652678,0,1,0,0.0,0.0
17,17,0.005366745053884616,0.9688805495620233,0,2,0,0.0,0.0
18,18,0.005460543204965376,1.0410929012605392,0,1,0,0.0,0.0
19,19,0.004081489005895824,0.7968982122251733,0,2,0,0.0,0.0
20,20,0.005100743667085586,0.9384260776606886,0,2,0,0.0,0.0
21,21,0.003952945941890289,0.7744386062521221,0,2,0,0.0,0.0
22,22,0.0049923621934902665,1.0235179318191105,0,1,0,0.0,0.0
23,23,0.004431466235068278,0.9763351428728492,0,1,0,0.0,0.0
24,24,0.00609613777484723,1.0110565235188205,0,1,0,0.0,0.0
25,25,0.00415395761687166,0.8359630089617736,0,2,0,0.0,0.0
26,source_nodes,0.0040567049101056475,0.7617329750629044,0,0,0,0.0,0.0
27,27,0.00546270454297805,1.0022495700296081,0,2,0,0.0,0.0
28,28,0.004760281327494816,0.920953623409354,0,2,0,0.0,0.0
29,29,0.004067238804488572,0.8441472170520807,0,2,0,0.0,0.0
30,30,0.0038062862525594853,0.836526219710315,0,2,0,0.0,0.0
31,31,0.004986099715984779,0.9996409246484458,0,2,0,0.0,0.0
32,32,0.00534542003044243,1.0507575625534256,0,1,0,0.0,0.0
