node,label,state,reserve_state,prev_State,infection_time,obv,potential_source,state_based_source
0,0,0.0006035332625118179,0.6578392722356724,0,6,0,0.0,0.0
1,1,0.0005412680942672839,0.7616292878892531,0,6,0,0.0,0.0
2,2,0.0004239408885023718,0.8363968313970971,0,6,0,0.0,0.0
3,3,0.0005418835828382824,0.7836645049165015,0,5,0,0.0,0.0
4,4,0.00012082554827900498,0.8066279256079224,0,5,0,0.0,0.0
5,observers,0.0008351393007342747,1.0639037124451005,0,5,1,,
6,6,0.0008169433073823012,1.093306246080406,0,4,0,0.0,0.0
7,7,0.0006007571242837599,1.016205505026557,0,3,0,0.0,0.0
8,8,0.0006928671427022685,0.845824601198018,0,3,0,0.0,0.0
9,9,0.0003255344084173939,1.1264509527336937,0,4,0,0.0,0.0
10,10,0.00010578864930276621,0.9472658556345678,0,2,0,0.0,0.0
11,11,0.0002737686296103538,1.0447526383124006,0,3,0,0.0,0.0
12,12,0.00010578864930276621,0.9357135944499998,0,5,0,0.0,0.0
13,13,0.0,1.0324443479396879,0,2,0,0.0,0.0
14,14,0.001008241665108505,0.9405403556352103,0,3,0,0.0,0.0
15,15,0.0007733898775854771,0.9130924075740597,0,3,0,0.0,0.0
16,16,0.0009037505213573198,1.003457354510369,0,3,0,0.0,0.0
17,17,0.0008174000569748483,0.9125887410399753,0,4,0,0.0,0.0
18,18,0.0005923653350475652,0.9983146857112697,0,3,0,0.0,0.0
19,19,0.0007307329158007522,0.9965899241134568,0,3,0,0.0,0.0
20,20,0.0004904216588695743,0.8870621995668597,0,4,0,0.0,0.0
21,21,0.0004784873661807376,0.9729362182814766,0,4,0,0.0,0.0
22,22,0.0007268170593314143,1.0772993196036609,0,4,0,0.0,0.0
23,23,0.0006024918013863434,0.9174199428493752,0,4,0,0.0,0.0
24,24,0.00048419748533013764,1.0077239096004678,0,4,0,0.0,0.0
25,25,0.0008492449547274205,1.1897704121628088,0,4,0,0.0,0.0
26,26,0.0006437016747340158,1.1046436695694968,0,3,0,0.0,0.0
27,27,0.000748298368879104,1.1151866470355574,0,3,0,0.0,0.0
28,28,0.0006368722013645602,1.0207462834429875,0,5,0,0.0,0.0
29,29,0.0007602784594477805,1.0120365812800909,0,4,0,0.0,0.0
30,30,0.0006264302297296445,1.2128507621063516,0,4,0,0.0,0.0
31,31,0.0005015336914694249,0.9272994495402703,0,4,0,0.0,0.0
32,32,0.000656473870189781,1.035228472412289,0,5,0,0.0,0.0
33,33,0.0003859893277486905,1.1158952345902795,0,4,0,0.0,0.0
34,34,0.0006315322098121546,1.1216747667933935,0,4,0,0.0,0.0
35,35,0.0007418315737505042,1.228857682861512,0,3,0,0.0,0.0
36,36,0.0007095830799269972,0.9587662828382658,0,3,0,0.0,0.0
37,37,0.000686963020374135,1.198059686962645,0,3,0,0.0,0.0
38,38,0.0007796514877302352,1.1249108079351842,0,2,0,0.0,0.0
39,39,0.0005298251801003524,1.0251710186912326,0,4,0,0.0,0.0
40,40,0.0007272447758828943,1.0265374844322226,0,4,0,0.0,0.0
41,41,0.0006233807509851582,0.9455983208633058,0,4,0,0.0,0.0
42,42,0.000495170356384401,0.8391248707574954,0,4,0,0.0,0.0
43,43,0.0007486466263694583,1.357444759292546,0,4,0,0.0,0.0
44,44,0.0006180785442221183,1.1126461916183799,0,4,0,0.0,0.0
45,45,0.00048455740773532076,1.0553417061035648,0,3,0,0.0,0.0
46,46,0.0006030410354601179,0.9294049995707647,0,4,0,0.0,0.0
47,47,0.0006135702590171608,0.9144524167720586,0,3,0,0.0,0.0
48,48,0.0005622870096677218,1.0167214627016037,0,2,0,0.0,0.0
49,49,0.000737537240270778,1.1051413471793945,0,3,0,0.0,0.0
50,50,0.0007267467144003074,1.1006033588609823,0,4,0,0.0,0.0
51,51,0.0006160852027647946,0.9149289003576584,0,4,0,0.0,0.0
52,52,0.0008731286557635836,1.181784427021304,0,2,0,0.0,0.0
53,53,0.000632643312281498,0.9851207827298439,0,3,0,0.0,0.0
54,54,0.0005119730683030187,1.1039547902229545,0,3,0,0.0,0.0
55,55,0.000738307087226725,0.8984126495590191,0,2,0,0.0,0.0
56,56,0.0007284506008084503,1.1247395312688795,0,3,0,0.0,0.0
57,57,0.0005905493152962985,1.0867447352614152,0,3,0,0.0,0.0
58,58,0.0006189877163147725,0.8004856961744404,0,3,0,0.0,0.0
59,59,0.0004914586461097813,0.9029787119702917,0,4,0,0.0,0.0
60,60,0.000640380368073406,1.082826341306714,0,4,0,0.0,0.0
61,61,0.0006195281249096419,0.9078354101863979,0,4,0,0.0,0.0
62,62,0.0004987174520113898,0.9656995574458708,0,5,0,0.0,0.0
63,63,0.0006049546878044963,1.0915771301386805,0,5,0,0.0,0.0
64,64,0.000358147474549841,0.9859977720313419,0,5,0,0.0,0.0
65,65,0.00033930609640900805,0.9727409851317438,0,5,0,0.0,0.0
66,66,0.000984214828392041,0.9242155213712187,0,5,0,0.0,0.0
67,67,0.00012067267735316272,0.758880375319893,0,5,0,0.0,0.0
68,68,0.0007242637470768675,0.6036911491133581,0,6,0,0.0,0.0
69,69,0.0006764846784855008,1.1749553443118184,0,4,0,0.0,0.0
70,70,0.000795653429253649,0.7501290833343048,0,5,0,0.0,0.0
71,observers,0.0009351051689568261,0.8391296080784082,0,5,1,,
72,72,0.000697505960126214,1.0748799394930935,0,4,0,0.0,0.0
73,observers,0.00024232104218665734,0.819291203778018,0,5,1,,
74,74,0.000354073569466066,0.590948649123101,0,5,0,0.0,0.0
75,75,0.0,0.9720036465844498,0,4,0,0.0,0.0
76,76,0.00048187820375779675,0.7367740618578773,0,5,0,0.0,0.0
