Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
BA_n1000_m7_graph_1,15,"['25', '82', '136', '197', '198', '287', '393', '473', '496', '525', '566', '685', '781', '829', '853']",4,15,"['8', '25', '14', '19', '10', '9', '16', '0', '3', '11', '21', '18', '4', '13', '2']",1.133,1,['25'],15,"['10', '9', '16', '11', '21', '4', '2', '18', '12', '13', '17', '15', '20', '27', '28']",1.333,0,[],"['260', '345', '874', '437', '596', '364', '112', '98', '81', '890', '261', '691', '576', '524', '647', '663', '440', '115', '185', '389', '653', '179', '396', '333', '760', '166', '53', '24', '806', '378', '863', '658', '340', '641', '367', '346', '253', '538', '521', '297', '134', '595', '284', '176', '330', '419', '116', '190', '789', '394']"
BA_n1000_m7_graph_2,15,"['36', '49', '103', '125', '229', '312', '421', '655', '660', '670', '747', '771', '858', '863', '992']",4,15,"['9', '8', '17', '12', '10', '49', '0', '16', '747', '14', '6', '19', '7', '24', '660']",1.067,3,"['49', '660', '747']",15,"['9', '17', '8', '48', '58', '27', '49', '39', '21', '47', '40', '37', '52', '30', '87']",1.333,1,['49'],"['408', '126', '436', '175', '289', '420', '98', '387', '506', '486', '95', '903', '729', '366', '656', '607', '753', '606', '737', '28', '20', '953', '941', '787', '192', '303', '84', '225', '838', '526', '91', '876', '959', '139', '591', '11', '934', '813', '774', '667', '679', '619', '384', '502', '217', '990', '34', '487', '752', '118']"
BA_n1000_m7_graph_3,15,"['40', '57', '75', '116', '262', '285', '289', '323', '439', '467', '663', '750', '794', '881', '983']",4,15,"['8', '21', '0', '12', '10', '16', '9', '11', '13', '19', '4', '15', '40', '18', '23']",1.333,1,['40'],15,"['8', '0', '21', '16', '10', '12', '11', '9', '4', '13', '19', '15', '5', '40', '17']",1.333,1,['40'],"['427', '718', '768', '272', '633', '170', '905', '219', '786', '696', '675', '32', '877', '953', '86', '910', '404', '480', '534', '396', '39', '988', '443', '120', '703', '769', '527', '174', '291', '464', '784', '937', '413', '889', '563', '518', '363', '958', '779', '466', '284', '265', '990', '322', '669', '917', '233', '904', '27', '109']"
BA_n1000_m7_graph_4,15,"['33', '110', '171', '231', '284', '320', '404', '454', '552', '660', '721', '915', '919', '926', '968']",4,15,"['5', '7', '4', '9', '12', '29', '13', '11', '0', '20', '38', '14', '15', '8', '110']",1.4,1,['110'],15,"['9', '12', '13', '0', '11', '14', '29', '15', '20', '8', '34', '16', '6', '10', '27']",1.467,0,[],"['758', '186', '170', '74', '198', '347', '783', '927', '609', '827', '412', '925', '946', '499', '941', '386', '132', '787', '429', '988', '904', '3', '275', '553', '851', '747', '802', '313', '89', '641', '286', '376', '490', '141', '363', '744', '79', '220', '993', '31', '315', '543', '35', '19', '338', '485', '807', '495', '127', '945']"
BA_n1000_m7_graph_5,15,"['35', '83', '242', '302', '319', '471', '475', '494', '565', '658', '683', '719', '845', '895', '957']",4,15,"['9', '12', '8', '83', '35', '14', '11', '1', '13', '2', '10', '17', '5', '25', '19']",1.133,2,"['83', '35']",15,"['12', '8', '14', '11', '13', '1', '2', '5', '0', '17', '10', '25', '6', '19', '15']",1.333,0,[],"['409', '272', '498', '266', '436', '245', '133', '796', '104', '130', '597', '200', '675', '935', '28', '716', '407', '323', '936', '894', '976', '166', '212', '225', '358', '413', '795', '93', '91', '764', '36', '996', '964', '30', '377', '616', '813', '912', '710', '287', '677', '983', '515', '138', '669', '856', '22', '807', '529', '274']"
BA_n1000_m7_graph_6,15,"['141', '163', '189', '234', '503', '547', '549', '561', '574', '628', '676', '795', '900', '959', '972']",4,15,"['8', '0', '234', '20', '10', '14', '13', '12', '15', '9', '163', '1', '22', '4', '36']",1.2,2,"['163', '234']",15,"['8', '0', '10', '20', '13', '12', '15', '14', '1', '36', '4', '22', '9', '18', '59']",1.4,0,[],"['280', '44', '474', '498', '364', '690', '157', '903', '952', '219', '412', '927', '16', '43', '925', '32', '445', '54', '39', '603', '808', '702', '50', '593', '62', '3', '271', '992', '537', '481', '215', '414', '365', '598', '235', '236', '33', '726', '444', '240', '288', '293', '859', '255', '201', '446', '983', '752', '870', '532']"
BA_n1000_m7_graph_7,15,"['0', '26', '219', '258', '266', '458', '503', '511', '528', '638', '734', '813', '834', '876', '956']",4,15,"['0', '9', '7', '8', '12', '15', '1', '21', '14', '17', '10', '35', '5', '4', '45']",1.267,1,['0'],15,"['0', '9', '8', '12', '21', '15', '17', '4', '11', '5', '10', '25', '33', '35', '23']",1.267,1,['0'],"['345', '44', '901', '436', '821', '65', '533', '58', '88', '440', '672', '644', '70', '656', '613', '623', '689', '18', '819', '499', '841', '97', '136', '3', '325', '664', '464', '792', '248', '312', '413', '838', '818', '921', '996', '621', '203', '616', '774', '197', '546', '398', '583', '948', '569', '262', '13', '752', '92', '410']"
BA_n1000_m7_graph_8,15,"['177', '268', '313', '335', '345', '354', '407', '417', '420', '512', '545', '615', '663', '766', '955']",4,15,"['11', '7', '0', '9', '8', '13', '10', '32', '12', '14', '15', '17', '24', '19', '20']",1.4,0,[],15,"['7', '8', '10', '32', '24', '17', '15', '14', '19', '20', '30', '18', '26', '2', '22']",1.6,0,[],"['1', '295', '823', '375', '112', '558', '600', '463', '452', '506', '58', '844', '72', '952', '647', '359', '277', '645', '28', '925', '105', '722', '701', '54', '63', '189', '383', '628', '180', '747', '414', '650', '191', '652', '921', '739', '267', '357', '710', '911', '626', '421', '848', '66', '725', '698', '625', '986', '162', '79']"
BA_n1000_m7_graph_9,15,"['290', '292', '313', '360', '445', '487', '508', '635', '724', '728', '757', '831', '865', '881', '961']",4,15,"['0', '9', '20', '10', '16', '15', '13', '3', '6', '12', '21', '11', '39', '18', '5']",1.4,0,[],15,"['10', '16', '3', '6', '15', '13', '12', '5', '42', '11', '21', '32', '2', '14', '1']",1.467,0,[],"['694', '44', '67', '436', '662', '379', '793', '94', '152', '512', '332', '244', '277', '351', '763', '117', '689', '675', '696', '143', '329', '8', '966', '416', '180', '769', '578', '851', '215', '177', '458', '484', '818', '921', '30', '59', '542', '580', '297', '732', '700', '879', '100', '535', '254', '421', '37', '251', '709', '678']"
BA_n1000_m7_graph_10,15,"['95', '246', '296', '328', '476', '571', '636', '648', '684', '742', '758', '873', '881', '936', '948']",4,15,"['8', '11', '17', '9', '10', '14', '21', '7', '13', '5', '95', '16', '55', '32', '18']",1.4,1,['95'],15,"['17', '11', '8', '7', '9', '13', '14', '5', '10', '21', '16', '0', '15', '55', '18']",1.467,0,[],"['52', '111', '731', '496', '44', '352', '509', '6', '369', '749', '788', '486', '497', '366', '770', '605', '837', '627', '428', '28', '551', '782', '441', '62', '195', '3', '650', '252', '800', '750', '688', '123', '363', '59', '591', '207', '106', '125', '134', '710', '912', '934', '101', '720', '233', '265', '983', '807', '633', '817']"
