Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
ER_n500_p0.15_graph_1,5,"['138', '168', '219', '408', '464']",3,5,"['408', '464', '138', '168', '399']",0.4,4,"['408', '464', '138', '168']",5,"['427', '421', '441', '484', '398']",1.6,0,[],"['200', '432', '21', '33', '401', '157', '61', '237', '405', '390', '34', '403', '225', '480', '182', '252', '461', '161', '16', '47', '316', '460', '264', '152', '232']"
ER_n500_p0.15_graph_2,5,"['26', '49', '193', '198', '388']",2,5,"['198', '388', '49', '193', '72']",0.4,4,"['49', '193', '198', '388']",5,"['320', '332', '347', '360', '315']",1.4,0,[],"['477', '302', '471', '39', '68', '262', '314', '48', '217', '482', '487', '319', '282', '89', '327', '369', '396', '229', '0', '498', '13', '131', '114', '460', '156']"
ER_n500_p0.15_graph_3,5,"['71', '107', '203', '242', '337']",3,5,"['337', '242', '107', '203', '327']",0.2,4,"['203', '107', '242', '337']",5,"['383', '391', '380', '329', '366']",1.2,0,[],"['247', '6', '236', '138', '163', '125', '246', '12', '237', '284', '268', '405', '350', '122', '386', '336', '353', '371', '481', '325', '254', '412', '115', '416', '76']"
ER_n500_p0.15_graph_4,5,"['98', '154', '263', '341', '404']",3,5,"['341', '263', '98', '154', '444']",0.2,4,"['263', '98', '341', '154']",5,"['364', '342', '360', '333', '347']",1.6,0,[],"['107', '287', '242', '7', '493', '331', '337', '12', '62', '487', '319', '169', '29', '281', '345', '420', '403', '166', '13', '445', '450', '243', '1', '290', '22']"
ER_n500_p0.15_graph_5,5,"['55', '83', '135', '169', '310']",3,5,"['55', '135', '83', '310', '148']",0.2,4,"['310', '83', '135', '55']",5,"['412', '367', '358', '421', '359']",1.4,0,[],"['107', '21', '442', '393', '471', '226', '11', '330', '424', '366', '111', '157', '180', '190', '279', '467', '130', '374', '81', '372', '167', '2', '447', '305', '328']"
ER_n500_p0.15_graph_6,5,"['34', '106', '178', '218', '457']",3,5,"['218', '34', '457', '178', '106']",0,5,"['178', '106', '457', '34', '218']",5,"['354', '494', '367', '421', '395']",1.6,0,[],"['397', '213', '270', '169', '101', '45', '484', '372', '239', '323', '219', '75', '436', '338', '293', '316', '368', '264', '147', '126', '115', '88', '186', '271', '382']"
ER_n500_p0.15_graph_7,5,"['8', '24', '127', '269', '288']",3,5,"['269', '8', '127', '24', '288']",0,5,"['8', '127', '288', '269', '24']",5,"['444', '486', '436', '449', '459']",1.6,0,[],"['244', '7', '261', '435', '116', '246', '74', '165', '263', '377', '198', '45', '420', '164', '67', '192', '245', '214', '458', '38', '316', '147', '387', '344', '186']"
ER_n500_p0.15_graph_8,5,"['6', '424', '430', '437', '444']",2,5,"['424', '437', '444', '430', '6']",0,5,"['444', '430', '6', '424', '437']",5,"['345', '407', '419', '448', '386']",1.6,0,[],"['107', '499', '44', '251', '143', '180', '473', '237', '285', '224', '484', '129', '177', '187', '317', '378', '478', '303', '480', '370', '207', '290', '308', '105', '397']"
ER_n500_p0.15_graph_9,5,"['78', '168', '206', '338', '447']",2,5,"['206', '78', '447', '338', '226']",0.4,4,"['447', '338', '206', '78']",5,"['441', '376', '342', '418', '402']",1.2,0,[],"['21', '432', '400', '401', '262', '448', '331', '51', '89', '72', '267', '396', '189', '238', '255', '79', '380', '104', '480', '371', '450', '65', '152', '273', '117']"
ER_n500_p0.15_graph_10,5,"['111', '142', '250', '301', '469']",2,5,"['111', '250', '301', '142', '93']",0.4,4,"['142', '301', '111', '250']",5,"['396', '308', '391', '320', '360']",1.6,0,[],"['42', '400', '31', '493', '424', '70', '415', '333', '489', '434', '128', '92', '183', '444', '359', '192', '362', '228', '439', '20', '66', '127', '346', '22', '241']"
,,,2.6,,,0.22,,,,,1.48,,,
