Graph Name,no of sources,#Sources,diameter,no of identefied sources_Reserve(diff from original),#Identified (Reserve),Avg Weight (Reserve),len common reserve,#Common (Reserve),no of identefied sources_State(diff from original) ,#Identified (State),Avg Weight (State),len common state,#Common (State),observer list
WS_n500_k10_p0.15_graph_1,5,"['94', '124', '380', '415', '445']",6,5,"['449', '17', '385', '447', '488']",2,0,[],5,"['86', '460', '329', '3', '88']",2.8,0,[],"['451', '395', '261', '116', '143', '12', '467', '130', '139', '283', '154', '459', '496', '149', '225', '192', '13', '297', '458', '338', '243', '389', '305', '431', '412']"
WS_n500_k10_p0.15_graph_2,5,"['11', '307', '378', '449', '498']",6,5,"['310', '305', '304', '428', '161']",2.6,0,[],5,"['414', '58', '342', '304', '268']",2.2,0,[],"['375', '400', '37', '51', '140', '278', '427', '333', '313', '162', '171', '164', '317', '320', '370', '20', '323', '458', '450', '352', '137', '306', '410', '431', '485']"
WS_n500_k10_p0.15_graph_3,5,"['52', '94', '147', '244', '398']",6,5,"['399', '361', '161', '4', '28']",1.8,0,[],5,"['100', '490', '355', '156', '295']",2.6,0,[],"['392', '15', '388', '74', '309', '333', '83', '224', '29', '310', '34', '195', '164', '104', '0', '357', '228', '158', '363', '19', '306', '305', '259', '110', '290']"
WS_n500_k10_p0.15_graph_4,5,"['142', '196', '308', '448', '466']",6,5,"['234', '425', '126', '360', '163']",1.6,0,[],5,"['370', '117', '293', '152', '289']",3,0,[],"['244', '132', '138', '399', '479', '309', '405', '263', '168', '295', '267', '229', '238', '275', '422', '192', '148', '303', '256', '363', '199', '127', '352', '468', '197']"
WS_n500_k10_p0.15_graph_5,5,"['5', '28', '52', '262', '316']",6,5,"['308', '263', '311', '352', '410']",2.4,0,[],5,"['116', '228', '269', '262', '156']",1.8,1,['262'],"['300', '71', '236', '375', '44', '43', '394', '415', '149', '292', '104', '409', '378', '480', '206', '425', '27', '38', '421', '137', '472', '232', '123', '146', '211']"
WS_n500_k10_p0.15_graph_6,5,"['77', '127', '233', '302', '411']",6,5,"['302', '416', '420', '224', '168']",2,1,['302'],5,"['284', '193', '285', '436', '432']",3,0,[],"['379', '299', '33', '138', '418', '180', '190', '286', '62', '295', '466', '54', '463', '79', '170', '214', '343', '53', '461', '297', '219', '425', '288', '296', '437']"
WS_n500_k10_p0.15_graph_7,5,"['93', '120', '172', '329', '334']",6,5,"['148', '232', '473', '89', '247']",1.8,0,[],5,"['255', '168', '284', '232', '417']",2.2,0,[],"['477', '71', '471', '449', '465', '201', '279', '237', '144', '249', '106', '141', '73', '177', '79', '402', '391', '5', '228', '151', '490', '243', '152', '318', '426']"
WS_n500_k10_p0.15_graph_8,5,"['17', '74', '83', '382', '403']",6,5,"['21', '382', '22', '403', '405']",1.6,2,"['403', '382']",5,"['182', '358', '97', '286', '468']",2.8,0,[],"['11', '98', '201', '160', '32', '385', '430', '469', '268', '496', '324', '29', '310', '189', '335', '255', '380', '402', '148', '24', '16', '65', '115', '344', '135']"
WS_n500_k10_p0.15_graph_9,5,"['100', '158', '214', '474', '487']",6,5,"['372', '482', '100', '142', '110']",1.4,1,['100'],5,"['338', '47', '381', '1', '76']",2.8,0,[],"['107', '287', '31', '98', '70', '418', '143', '136', '74', '265', '276', '237', '377', '128', '56', '194', '229', '423', '0', '315', '429', '371', '240', '16', '3']"
WS_n500_k10_p0.15_graph_10,5,"['19', '37', '232', '341', '352']",6,5,"['232', '42', '453', '466', '382']",1.8,1,['232'],5,"['264', '191', '395', '158', '305']",2.8,0,[],"['287', '499', '21', '299', '400', '98', '262', '276', '487', '284', '194', '188', '30', '177', '229', '441', '409', '419', '454', '470', '338', '387', '404', '468', '367']"
,,,6,,,1.9,,,,,2.6,,,
